date,post_2008,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer,primary_product_exports_z_12,total_exports_z_12,soybeans_z_12,oil_z_12,iron_ore_z_12,wheat_z_12,corn_z_12,usdbrl_z_12,neer_z_12,primary_product_exports_z_3,total_exports_z_3,soybeans_z_3,oil_z_3,iron_ore_z_3,wheat_z_3,corn_z_3,usdbrl_z_3,neer_z_3
10/1/00,0,1057.2,4634.82,113.42,0,291.08,0,0,0.04,1.901,95.61,,,,,,,,,,,,,,,,,,
11/1/00,0,1027.8,4374.18,62.31,38.93,232.94,0,0,0.02,1.98,99.08,,,,,,,,,,,,,,,,,,
12/1/00,0,820.35,4646,21.32,59.93,230.99,0,0,0,1.95,101.06,,,,,,,,,,-1.405015525,0.75115132,-1.177519188,1.086514311,-0.741791682,,-1.2247,0.1945064,1.099519128
1/1/01,0,1006.57,4528.68,58.19,66.16,320.82,0,0,5.57,1.972,100.36,,,,,,,,,,0.590138497,0.111335159,0.592373269,0.9574526,1.413958213,,1.4142,0.367911832,0.235826921
2/1/01,0,845.36,4062.89,19.68,85.84,184.79,0,0,15.55,2.046,105.96,,,,,,,,,,-0.550142282,-1.388399119,-0.752724892,1.376190409,-1.075519233,,1.3229,1.379971962,1.404878717
3/1/01,0,1106.4,5153.77,161.88,8.56,284.17,0,0,24.2,2.1525,109.46,,,,,,,,,,1.118491171,1.279820397,1.364887556,-1.371106957,0.36385082,,1.1946,1.291293652,1.120631051
4/1/01,0,1288.28,4713.7,336.06,79.97,208.96,0,0.01,29.36,2.2,114.17,,,,,,,,,,1.145698353,0.156761615,1.263860617,0.621908874,-0.402037886,1.41421356237309,1.1098,1.043124719,1.280286471
5/1/01,0,1600.19,5362.18,416.28,75.5,270.43,0,0.1,63.3,2.382,119.14,,,,,,,,,,1.317113982,1.056663474,1.050348088,0.637570723,0.486537199,1.40837370165609,1.4037,1.386768366,1.235561664
6/1/01,0,1583.97,5033.41,435.67,87.48,232.41,0,0,60.11,2.3105,121.73,,,,,,,,,,0.649783507,-0.011407011,0.919930929,1.31431009,-0.191743995,-0.815374248327211,0.6003,0.173639724,1.078551441
7/1/01,0,1490.64,4957.56,337.77,74.91,280.66,0,0,40.52,2.4665,124.71,,,,,,,,,,-1.400846441,-0.911984837,-1.389261761,-0.757431681,0.939053333,-0.707106781186547,-1.4023,1.257311182,1.252306757
8/1/01,0,1593.58,5719.94,445.36,47.23,253.71,0,0,28.54,2.5635,128.03,,,,,,,,,,0.808072642,1.408435706,0.804460076,-1.346733738,-0.095392724,,-1.1156,1.119439883,1.246172538
9/1/01,0,1383.25,4738.23,280.17,24.74,209.21,0,0.01,59.19,2.67,136.35,0.534323662,-0.20671917,0.348305058,-1.017133665,-1.059339648,0,1.382794257,1.822014561,1.865732641,-1.233290268,-0.951564454,-1.08476764,-1.180408797,-1.31189545,1.41421356237309,1.3035,1.24335162,1.358941734
10/1/01,0,1361.83,4943.93,156.75,45.72,277.01,0,0.03,50.82,2.6965,137.79,0.371623401,0.213285292,-0.445175654,-0.505963345,0.752159846,0.631168744,0.865077035,1.580852296,1.629748609,-0.807053568,-0.449710528,-1.161611659,0.632275973,1.079640059,1.33630620956212,0.3585,0.924991348,0.867842692
11/1/01,0,1061.46,4487.38,36.06,35.94,210.11,0,0,62.47,2.4985,126.16,-0.730030352,-0.89826059,-1.171757607,-0.89364993,-0.950033129,-0.450834817,1.187500733,0.688605356,0.608985759,-1.41170581,-1.263061014,-1.2201538,0.055221207,-0.692886752,-1.0690449676497,1.0146,-1.40342712,-1.405064192
12/1/01,0,1027.62,4330.62,41.65,88.83,199.14,0,0,53.57,2.3105,116.85,-0.99906336,-1.149885064,-1.162433128,1.114543597,-1.106384859,-0.450834817,0.652349643,-0.201469094,-0.291947393,-0.816753068,-0.986652558,-0.656262459,1.392698534,-0.860471137,-0.707106781186548,-0.4123,-1.214032697,-1.177108209
