date,reer,cxpi_dynamic,vix,rate_diff,aec,international_reserves, fiscal_bal ,msci_world_index,gdp_usd,election_year,election_year_int
9/1/08,148.79,100,30.24,11.75,4761460000,206494000,83160000000,1182,148640000000,0,0
10/1/08,128.25,93.60489625,61.18,12.75,3695310000,197229000,83160000000,957,128515000000,0,0
11/1/08,127.57,89.87201147,62.67,12.75,3683240000,194668000,83160000000,893,117635000000,0,0
12/1/08,120.35,94.85777907,52.41,13.625,3076630000,193783000,67680000000,920,105764000000,0,0
1/1/09,126.29,105.5100046,44.68,12.625,2391820000,188102000,67680000000,839,103864000000,0,0
2/1/09,128.63,109.657266,45.57,12.625,2625360000,186880000,67680000000,751,102644000000,0,0
3/1/09,129.31,92.27309231,44.8,11.125,3231810000,190388000,67680000000,805,113746000000,0,0
4/1/09,133.81,90.05761033,38.06,10.125,2400070000,190546000,67680000000,893,116935000000,0,0
5/1/09,140.88,97.26886977,31.98,10.125,2745660000,195264000,67680000000,970,127734000000,0,0
6/1/09,148.05,106.8663064,29.14,9.125,2960060000,201467000,67680000000,964,135896000000,0,0
7/1/09,149.86,116.7024009,26.16,8.625,2106800000,207363000,237340000000,1045,142852000000,0,0
8/1/09,155.76,132.2828233,25.34,8.625,2459420000,215744000,219070000000,1086,150357000000,0,0
9/1/09,156.4,118.3186845,24.93,8.625,2477150000,221629000,276010000000,1127,15688000000,0,0
10/1/09,162.3,129.335515,24.25,8.625,2596330000,231123000,307000000000,1106,175131000000,0,0
11/1/09,162.75,148.7122591,23.79,8.625,2484580000,236660000,284660000000,1149,1762000000,0,0
12/1/09,161.86,159.1591639,21.24,8.625,2894790000,238520000,283670000000,1168,171375000000,0,0
1/1/10,160.61,190.9957978,20.64,8.625,3331930000,240484000,324880000000,1120,158338000000,0,0
2/1/10,157.74,189.7407,22.54,8.625,2683840000,241082000,301290000000,1133,152790000000,1,22.54
3/1/10,162.82,189.4453992,17.77,8.625,3201790000,243762000,323550000000,1201,177535000000,1,17.77
4/1/10,166.02,212.0240557,17.42,9.375,3034820000,247292000,322830000000,1199,176815000000,1,17.42
5/1/10,165.54,195.398863,31.93,9.375,3355150000,249846000,297330000000,1080,173905000000,1,31.93
6/1/10,167.52,186.5546671,29.92,10.125,3025470000,253114000,325010000000,1041,17594000000,1,29.92
7/1/10,168.02,165.6538261,25.57,10.625,2774380000,257299000,363610000000,1125,185898000000,1,25.57
8/1/10,167.2,196.9885518,24.75,10.625,3250060000,261320000,358010000000,1081,18974000000,1,24.75
9/1/10,169.92,192.4583408,22.52,10.625,2621940000,275206000,364920000000,1179,196168000000,1,22.52
10/1/10,170.16,218.1468223,20.37,10.625,3408240000,284930000,364020000000,1222,208810000000,1,20.37
11/1/10,168.88,234.8503946,20.1,10.625,3603430000,285461000,356420000000,1194,209548000000,1,20.1
12/1/10,172.73,245.8858485,17.57,10.625,3327623100,288575000,347320000000,1280,205775000000,1,17.57
1/1/11,174.31,271.1304823,17.32,11.125,3491685100,297696000,445920000000,1308,195734000000,1,17.32
2/1/11,174.23,278.529553,17.43,11.125,3362070000,307516000,412750000000,1352,199273000000,0,0
3/1/11,174.13,231.1726439,20.72,11.625,4278330000,317146000,408920000000,1335,214896000000,0,0
4/1/11,180.56,224.3808973,16.24,11.875,5309450000,328062000,392350000000,1389,223390000000,0,0
5/1/11,177.81,221.0355861,16.91,11.875,4894580000,333017000,389700000000,1355,22831000000,0,0
