date,USDBRL,reer,USDBRL_z,neer_z,reer_z,brazil_rate_z,us_rate_z,rate_diff_z,vix_z,current_account_z,aec_z,pae_z,fx_gap_z,total_commodity_exports_z,total_export_value_z,total_export_kg_z,cxpi_dynamic_z
9/1/08,1.774490476,115.64,-1.218579357,1.341810908,0.700537957,1.137106981,0.417112399,0.92367611,1.192615725,0.432969606,2.148623213,-0.531625488,1.402197156,-0.480658783,-0.195663213,-0.835807154,-0.768126463
10/1/08,1.741233333,119.02,-0.953755648,0.547528539,-0.154783629,1.137106981,-0.15655027,1.215382303,4.757139877,0.891800737,0.911089945,-1.065702529,1.380068363,-0.596695877,-0.329283481,-1.028783563,-0.735005026
11/1/08,1.767368421,118.52,-0.887496515,0.476296462,-0.183100021,1.137106981,-0.15655027,1.215382303,4.92879925,0.968544216,0.897079696,-1.208013213,1.507197668,-0.969507664,-1.150093703,-1.944412557,-0.831651081
12/1/08,1.827131818,116.64,-0.796620766,0.180936677,-0.48375347,1.137106981,-0.658505106,1.470625223,3.746768939,0.390479853,0.192957335,-1.288205857,1.285508729,-1.421295471,-1.226448142,-2.166164927,-0.758862269
1/1/09,1.807528571,116,-0.858309255,0.378836674,-0.236401463,0.845059161,-0.658505106,1.178919029,2.856213939,0.314929579,-0.601935652,-1.662269043,1.30028734,-1.732877893,-1.996988245,-2.178565182,-0.520594655
2/1/09,1.79702381,118.86,-0.854579772,0.452751131,-0.138959763,0.845059161,-0.658505106,1.178919029,2.958748732,1.151221052,-0.330854172,-1.459974743,1.225391767,-1.728768706,-2.029715978,-2.183170001,-0.390428811
3/1/09,1.80843913,121.15,-0.842063074,0.479872968,-0.110643372,0.406987432,-0.658505106,0.741359739,2.870038855,0.867150859,0.373082469,-0.957479865,1.052234573,-1.704986166,-1.627308948,-1.596663412,-0.894439103
4/1/09,1.83839,120.38,-0.930345033,0.631576429,0.076744512,0.114939612,-0.658505106,0.449653545,2.093539412,1.373652,-0.592359467,-0.302096345,0.03283321,-1.603780928,-1.512777289,-1.224794618,-1.109027598
5/1/09,1.878838095,118.76,-1.024308594,0.868221908,0.371151699,0.114939612,-0.658505106,0.449653545,1.393077005,0.785605456,-0.191215986,-0.084065893,-0.001976237,-1.780323328,-1.570043118,-1.880182773,-1.142269642
6/1/09,1.94721,115.14,-1.105799651,1.119769495,0.669723061,-0.177108207,-0.658505106,0.157947351,1.065887329,1.158234772,0.057648745,-0.917669807,0.882125137,-1.397706839,-1.111916483,-1.163423372,-0.953092936
7/1/09,1.9625,113.33,-1.121139675,1.168350368,0.745094632,-0.323132117,-0.658505106,0.012094254,0.722568584,0.585205154,-0.932772524,-1.241489156,0.767558043,-1.568885842,-1.150093703,-0.8680317,-0.439554957
8/1/09,1.953709091,113.3,-1.186709842,1.392180033,0.990780969,-0.323132117,-0.658505106,0.012094254,0.628098325,1.087253602,-0.523468973,-0.761144168,0.490975027,-1.506464152,-1.207359532,-1.130458028,-0.102907839
9/1/09,2.001055556,111.42,-1.202564368,1.414831238,1.01743169,-0.323132117,-0.658505106,0.012094254,0.580863196,0.611834006,-0.502888882,-1.350376212,1.050459379,-1.491617857,-1.207359532,-0.856488427,-0.264780999
10/1/09,2.08825,107.96,-1.262208229,1.620778374,1.263118027,-0.323132117,-0.658505106,0.012094254,0.502522005,0.439721403,-0.364550735,-1.176703084,0.946392923,-1.36763881,-1.169182313,-1.099346722,0.031930714
11/1/09,2.191655,103.85,-1.271518226,1.627633343,1.281856816,-0.323132117,-0.658505106,0.012094254,0.449526494,0.305791372,-0.494264512,-0.53126975,0.28839265,-1.396790936,-1.45551146,-1.645632403,0.464336241
12/1/09,2.296431818,99.98,-1.25546881,1.590378073,1.244795656,-0.323132117,-0.658505106,0.012094254,0.155747031,-0.418455203,-0.018113387,-0.260443672,0.235831265,-1.285597402,-1.092827873,-1.427659921,0.694757667
1/1/10,2.375025,97.44,-1.237463919,1.516463616,1.192743466,-0.323132117,-0.658505106,0.012094254,0.086622452,-1.019481494,0.489296727,-1.68002976,1.776635895,-1.27283458,-1.703663387,-1.834420188,1.392118622
2/1/10,2.465222727,95.6,-1.184697813,1.399333045,1.073231638,-0.323132117,-0.658505106,0.012094254,0.305516954,-0.381640451,-0.262973531,-1.125481073,0.94130599,-1.074914917,-1.531865899,-1.601023236,1.346953074
3/1/10,2.509830435,93.13,-1.227413086,1.573985754,1.284771738,-0.323132117,-0.658505106,0.012094254,-0.244023454,-1.115519978,0.338236764,-0.541246094,0.648458678,-0.956113611,-0.863764556,-0.806506079,1.241048268
4/1/10,2.670863158,87.39,-1.247185574,1.675618132,1.418025345,-0.104096253,-0.658505106,0.2308739,-0.284346125,-0.565394083,0.144426391,-1.050698778,1.043040732,-1.023816184,-0.959207605,-1.353079118,1.624178542
5/1/10,2.739372727,86.2,-1.21578506,1.641641325,1.398037304,-0.104096253,-0.658505106,0.2308739,1.387316624,-0.181734893,0.516249335,-0.325988301,0.522234086,-0.65832956,-0.48199236,-0.89508454,1.270700992
6/1/10,2.542265,93.81,-1.212217216,1.709296897,1.480487973,0.114939612,-0.658505106,0.449653545,1.155749282,-0.691117189,0.133573381,-0.418799162,0.447768864,-0.887072252,-0.596524018,-1.011789859,1.131958712
7/1/10,2.3619,101.85,-1.238638841,1.732544185,1.501308849,0.260963522,-0.658505106,0.595506642,0.65459608,-1.457969928,-0.157879255,-0.187433786,0.10869707,-0.825426193,-0.48199236,-0.903058724,0.650417066
8/1/10,2.3771,102.19,-1.246712632,1.719728372,1.467162612,0.260963522,-0.658505106,0.595506642,0.560125822,-0.370406859,0.394266151,-0.800688573,0.914591035,-0.581158529,-0.195663213,-0.379873304,1.370936366
9/1/10,2.4188,106.44,-1.273923671,1.810631232,1.580428178,0.260963522,-0.658505106,0.595506642,0.303212801,-0.936946604,-0.334823936,-0.371072795,0.205814352,-0.534948738,-0.272017652,-0.633280161,1.25931238
10/1/10,2.345845,111,-1.304935731,1.797517377,1.590422198,0.260963522,-0.658505106,0.595506642,0.055516391,-0.639983972,0.577873535,-0.624237554,0.827000137,-0.442166096,-0.386549311,-0.585469675,1.846545602
11/1/10,2.3196,112.94,-1.280031177,1.72211271,1.537120755,0.260963522,-0.658505106,0.595506642,0.02441033,-1.070614711,0.804440264,-0.663817272,0.959453801,-0.386260934,-0.48199236,-1.126367752,2.204899506
12/1/10,2.4796,105.21,-1.290833026,1.844608039,1.697441501,0.260963522,-0.658505106,0.595506642,-0.26706498,-0.008865623,0.484297494,-0.133339666,0.328684659,-0.007910408,0.128843154,-0.247208778,2.458373051
1/1/11,2.713175,95.77,-1.307554627,1.869643581,1.763235469,0.406987432,-0.658505106,0.741359739,-0.295866889,-1.59373342,0.674732408,-1.509814609,1.695644562,-0.260287116,-0.978296215,-1.568999724,2.998997846
2/1/11,2.933834783,88.44,-1.311478799,1.85712581,1.759904129,0.406987432,-0.658505106,0.741359739,-0.283194049,-0.115002698,0.524281722,-1.098885511,1.248122072,0.084123421,-0.672878458,-1.497463177,3.129051244
3/1/11,3.109309091,83.6,-1.318045167,1.842521744,1.755739954,0.553011342,-0.658505106,0.887212835,0.095839062,-0.56297857,1.587830221,0.313444578,0.375959096,-0.249543819,-0.176574603,-1.115171724,1.969811071
4/1/11,3.341242857,78.88,-1.365055315,2.046978669,2.023496419,0.626023297,-0.658505106,0.960139384,-0.420291132,-0.397530455,2.784702428,-0.036826049,1.20764472,0.109213805,-0.004777115,-1.051949242,1.70556322
5/1/11,3.805130435,69.98,-1.350901691,1.938193279,1.908981601,0.626023297,-0.658505106,0.960139384,-0.343102018,-0.540045744,2.30314221,1.14601675,-0.100961629,0.281193192,0.567881179,-0.613449134,1.648983411
6/1/11,3.5756,75.47,-1.368742648,2.025817675,2.018499409,0.699035252,-0.658505106,1.033065932,-0.085036921,-0.398927378,1.846794635,-0.537699182,1.280711794,0.167111675,0.453349521,-0.792888748,1.628273996
7/1/11,3.625119048,75.39,-1.385419003,2.11046165,2.122603789,0.772047207,-0.658505106,1.105992481,-0.07582031,-1.158620885,2.094346558,-0.183845023,1.054224942,0.178506831,0.396083691,-0.63937781,1.882280751
