date,USDBRL,neer,reer,brazil_rate,us_rate,vix,current_account,aec,pae,fx_gap,total_commodity_exports,total_export_value,total_export_kg,post_2008
1/1/00,1.80292381,191.72,113.62,19,5.5,23.20,-1049000000,,,,4197748000,3446768506,19404428172,0
2/1/00,1.774490476,195.7,115.64,19,5.75,23.60,-1306800000,,,,4679559000,4120793391,16179667934,0
3/1/00,1.741233333,201.65,119.02,18.5,6,22.72,-2049600000,,,,4485576000,4467447649,20541303182,0
4/1/00,1.767368421,200.17,118.52,18.5,6,27.16,-3122300000,,,,4445889000,4170220598,18033808143,0
5/1/00,1.827131818,197.11,116.64,18.5,6.5,26.37,-1767200000,,,,4649559000,5060389264,23874946411,0
6/1/00,1.807528571,196.18,116,17.5,6.5,21.54,-2596000000,,,,4554626000,4850102157,21197566320,0
7/1/00,1.79702381,198.14,118.86,16.5,6.5,19.89,-1482800000,,,,4694266000,5000307451,22660894162,0
8/1/00,1.80843913,199.51,121.15,16.5,6.5,18.09,-1648500000,,,,4852098000,5516407914,23834378510,0
9/1/00,1.83839,198.72,120.38,16.5,6.5,19.69,-1825400000,,,,4508456000,4705729616,20096075378,0
10/1/00,1.878838095,196.09,118.76,16.5,6.5,"	25.20",-3727400000,,,,4467626000,4634820927,21888519226,0
11/1/00,1.94721,189.71,115.14,16.5,6.5,"	26.38",-2846900000,,,,4524770000,4374176633,18815228417,0
12/1/00,1.9625,185.85,113.33,15.75,6.5,"	26.53",-3108900000,,,,4784668000,4645995542,18010585422,0
1/1/01,1.953709091,185.12,113.3,15.25,5.5,24.92,-2425900000,,,,5229457000,4528675856,24699710529,0
2/1/01,2.001055556,181.57,111.42,15.25,5.5,23.41,-1927200000,,,,4981578000,4062887664,17296003758,0
3/1/01,2.08825,175.83,107.96,15.75,5,28.50,-2764500000,,,,5303562000,5153769468,22792748570,0
4/1/01,2.191655,169.03,103.85,16.25,4.5,28.13,-2502800000,,,,4901319000,4713703708,20374486826,0
5/1/01,2.296431818,162.66,99.98,16.75,4,22.94,-2363400000,,,,4941687000,5362183737,25954684967,0
6/1/01,2.375025,157.75,97.44,18.25,3.75,20.94,-2248700000,,,,4868042000,5033408207,22360326730,0
