date,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer
10/1/00,1057.2,4634.82,113.42,0,291.08,0,0,0.04,1.901,95.61
11/1/00,1027.8,4374.18,62.31,38.93,232.94,0,0,0.02,1.98,99.08
12/1/00,820.35,4646,21.32,59.93,230.99,0,0,0,1.95,101.06
1/1/01,1006.57,4528.68,58.19,66.16,320.82,0,0,5.57,1.972,100.36
2/1/01,845.36,4062.89,19.68,85.84,184.79,0,0,15.55,2.046,105.96
3/1/01,1106.4,5153.77,161.88,8.56,284.17,0,0,24.2,2.1525,109.46
4/1/01,1288.28,4713.7,336.06,79.97,208.96,0,0.01,29.36,2.2,114.17
5/1/01,1600.19,5362.18,416.28,75.5,270.43,0,0.1,63.3,2.382,119.14
6/1/01,1583.97,5033.41,435.67,87.48,232.41,0,0,60.11,2.3105,121.73
7/1/01,1490.64,4957.56,337.77,74.91,280.66,0,0,40.52,2.4665,124.71
8/1/01,1593.58,5719.94,445.36,47.23,253.71,0,0,28.54,2.5635,128.03
9/1/01,1383.25,4738.23,280.17,24.74,209.21,0,0.01,59.19,2.67,136.35
10/1/01,1361.83,4943.93,156.75,45.72,277.01,0,0.03,50.82,2.6965,137.79
11/1/01,1061.46,4487.38,36.06,35.94,210.11,0,0,62.47,2.4985,126.16
12/1/01,1027.62,4330.62,41.65,88.83,199.14,0,0,53.57,2.3105,116.85
1/1/02,863.38,3952.04,26.16,43.04,218.12,0,0,31.39,2.413,111.75
2/1/02,823.06,3652.69,14.28,45.35,199.96,0,0,45.88,2.3635,111.03
3/1/02,1058.47,4251.76,111.72,110.68,238.54,0,0.02,31.4,2.325,106.76
4/1/02,1305.34,4612.07,288.12,116.81,267.04,0,0,13.23,2.361,105.39
5/1/02,1226.96,4424.08,217.09,141.43,188.52,0,0.19,12.85,2.513,112.89
6/1/02,977.68,4064.86,217.59,53.59,60.82,0,0.01,4.45,2.8175,124.7
7/1/02,2069.14,6202.18,475.95,318.46,412.53,0,0,1.17,3.46,136.62
8/1/02,1721.39,5738.52,336.59,166.75,390.04,0,0,4.59,3.006,142.67
9/1/02,2371.52,6478.83,768.88,165.04,315.5,0,0,37.65,3.7395,152.25
10/1/02,1913.55,6456.47,353.35,238.46,262.32,0,0.02,34.13,3.63,171.03
11/1/02,1357.12,5102.63,99.04,116.56,261.07,0,0,34.73,3.653,158.26
12/1/02,1271.51,5211.04,121.2,175.2,234.38,0,0,8.48,3.54,158.7
1/1/03,1211.2,4780.28,50.68,122.67,297.85,0,0,11.34,3.4975,149.36
2/1/03,1271.13,4981.7,40.66,273.68,263.12,0,0,5.14,3.5685,160.19
3/1/03,1496.85,5209.86,267.83,252.93,271.92,0,0,22.8,3.3525,152.85
4/1/03,1785.2,5681.71,589.98,104.75,287.11,0,0.02,18.42,2.9105,138.14
5/1/03,2026.18,6363.12,689.87,112.24,290.71,0,0.04,39.53,2.9675,133.03
6/1/03,1833.39,5851.3,528.49,122.83,217.32,0,0.04,26.77,2.844,130.28
7/1/03,1694.03,6087.5,407.96,153.02,242.61,0,0,26.38,2.966,129.2
8/1/03,1929.38,6386.78,539.94,113.01,220.57,0,0,33.72,2.976,132.84
9/1/03,2281.23,7255.16,469.8,216.36,393.25,0,0,63.65,2.9,129.62
10/1/03,2387.89,7532.65,485.05,205.56,491.41,0,0,48.76,2.8675,129.03
11/1/03,1616.83,5918.23,130.5,175.96,282.5,0,0,25.92,2.946,130.76
12/1/03,1652.96,6728.47,86.03,268.93,197.55,0,7.31,47.18,2.8915,133.07
1/1/04,1740.54,5785.34,99.17,229.7,439.9,0,53.9,67.31,2.9345,130.93
2/1/04,1618.08,5715.58,127.32,200.68,282.4,0,37.81,70.06,2.9059,137.73
3/1/04,2452.78,7907.13,453.43,256.67,450.43,0,77.44,107.59,2.8953,135.51
4/1/04,1898.81,6581.42,568.56,76.17,211.22,0,31.27,46.38,2.933,135.1
5/1/04,2577.22,7921.66,738.76,231.6,301.66,0,7.34,29.06,3.189,142.57
6/1/04,3381.31,9306.49,1045.13,295.31,394.25,0,0.01,76.68,3.085,144.1
7/1/04,2778.04,8962.9,658.98,231.72,489.42,0,0,38.07,3.0365,139.4
8/1/04,2966.37,9039.69,580.53,321.93,505.74,51.51,0,49.68,2.927,136.65
9/1/04,2654.27,8910.07,647.73,70.82,413.06,28.45,0,60.64,2.8608,131.58
10/1/04,2303.63,8177.72,240.32,199.13,407.41,21.68,0,11.81,2.857,130.98
11/1/04,2102.28,8145.72,115.6,192.46,446.75,35.46,0,13.81,2.72,129.05
12/1/04,2055.24,8667.94,97.08,221.45,416.65,34.44,0,10.78,2.656,126.88
1/1/05,1770.69,7480.6,76.76,213.39,355.24,17.34,0,23.49,2.6088,124.02
2/1/05,1860.24,7777.72,90.78,194.29,417.02,13.16,0,35.09,2.5875,120.05
3/1/05,2280.39,9258.18,400.65,117.35,416.99,26.34,0.46,39.52,2.679,125.3
4/1/05,2833.87,9247.14,613.46,290.64,581.31,17.38,0,0.86,2.528,118.26
5/1/05,3006.33,9849.73,527.64,311.85,616.5,37.66,0,1.45,2.4076,111.64
6/1/05,3069.68,10220.08,695.74,23.92,686.23,22.2,0,0.34,2.3325,108.35
7/1/05,3846.18,11084.28,660.89,850.08,652.82,38.74,0,0.05,2.3787,106.38
8/1/05,3839.73,11345.35,686.76,636.21,701.75,0.75,0.01,0.09,2.357,106.82
9/1/05,3258.76,10658.37,543.27,560.06,628.26,37.47,0,0.11,2.2275,104.03
10/1/05,2857.23,9929.5,441.2,189.92,700.52,12.09,0,0.04,2.2518,100.88
11/1/05,3162.99,10841.58,340.66,476.86,746.98,20.39,0,0.06,2.2035,97.21
12/1/05,2945.46,10905.32,233.95,299.87,793.01,60.17,14.15,1.18,2.3355,100.9
1/1/06,2741.58,9282.15,179,721.42,607.71,0.47,25.77,6,2.212,100.68
2/1/06,2089.39,8757.14,171.61,235.09,576.83,25.23,8.88,19.28,2.1235,95.44
3/1/06,3159.26,11379.48,620.41,360.58,835.99,26.34,15.17,13.59,2.164,95.29
4/1/06,2828.18,9822.12,653.13,402.14,545.38,22.67,2.66,23.95,2.087,95.14
5/1/06,2922.46,10277.43,695.94,368.94,457.64,1.31,2.4,33.77,2.307,99.31
6/1/06,3308.98,11441.85,510.39,448,790.14,66.13,5.44,39.6,2.165,102.35
7/1/06,4655.37,13637.84,978.04,869.94,1069.62,71.12,1.91,72.43,2.177,100.12
8/1/06,4254.74,13646.47,657.75,725.09,860.18,44.35,2.15,69.82,2.145,99.2
9/1/06,4003.77,12556.05,449.12,970.1,786.79,68.07,0,45.35,2.169,99.14
10/1/06,3715.21,12655.9,379.31,536.18,913.7,78.33,0,43.81,2.1418,97.72
11/1/06,3413.39,11874.49,235.97,511.48,793.8,69.8,0,53.63,2.1649,98.62
12/1/06,3192.79,12250.21,116.68,745.33,711.09,46.14,0,38.89,2.1364,99.29
1/1/07,3194.49,10966.85,138.46,708.4,866.13,28.91,0,62.28,2.1229,97.85
2/1/07,2904.83,10107.26,206.56,484.41,718.15,38.89,0,51.82,2.1205,95.85
3/1/07,3731.71,12858.87,561.78,542.6,827.54,69.25,0,50.33,2.0594,96.14
4/1/07,4178.45,12433,844.9,695.03,767.61,112.43,0.05,95.31,2.0345,94.59
5/1/07,4374.21,13627.57,825.73,570.39,891.56,58.23,0.09,108.58,1.9246,92.5
