date,corn_kg,soybeans_kg,sugar_kg,iron_kg,oil_kg,coffee_kg,total_primary_exports,soybean_price,oil_price,iron_price,wheat_price,corn_price,coffee_price,sugar_price
1/1/00,404746,33611620,499632140,13755974125,1E-16,69207137,14358829768,180.38,25.41,12.45,93.62,92.95,94.51657143,5.6295
2/1/00,478832,59205827,759468391,9738062434,61,80074447,10637289992,185.76,27.37,12.45,98.17,95.08,87.52514286,5.351
3/1/00,657783,563365340,218161379,14008528824,1E-16,69866500,14860579826,190.97,27.49,12.45,96.4,95.17,84.3333913,5.1112
4/1/00,512171,1605231947,80794400,11587363626,1E-16,67411695,13341313839,197.1,23.77,12.45,94.43,95.54,79.6233,6.011
5/1/00,58485,1769814548,78188650,15614951206,1E-16,86050226,17549063115,200.87,27.42,12.45,99.11,95.53,77.17691304,6.780869565
6/1/00,222637,1791613782,393038940,13317542276,58947244,75073561,15636438440,186.95,29.83,12.45,103.37,84.04,73.67172727,8.334545455
7/1/00,1084235,1851291357,828561028,13156508672,313897574,57864821,16209207687,169.5,28.34,12.45,97.13,75.06,73.73561905,9.64047619
8/1/00,1474935,2010500747,766372360,14569365304,1E-16,96140996,17443854342,167.87,30.01,12.45,96.65,75.24,67.00013043,10.59782609
9/1/00,416809,791795386,492011930,12926123555,25000,87839202,14298211882,180.45,32.44,12.45,103.44,80.15,64.72580952,9.8575
10/1/00,511816,597951630,915567974,14830481468,1E-16,103610296,16448123184,173.61,31.65,12.45,107.78,84.71,64.623,10.41318182
11/1/00,45096,328678928,809474796,11857520107,218217489,97514349,13311450765,177.19,32.61,12.45,105.04,88.94,59.87154545,9.5135
12/1/00,821781,114011469,654659105,11530485998,373764273,76781612,12750524238,185.96,25.32,12.45,113.74,96.22,55.3207619,9.7175
1/1/01,55807542,295766257,1056563290,16422155327,429646948,69659414,18329598778,175.42,25.96,12.99,109.48,94.3,55.70304348,10.05952381
2/1/01,160739962,92302365,343024274,10154487387,657584561,77473991,11485612540,167.45,27.43,12.99,103.32,92.38,56.5403,9.3625
3/1/01,275223882,902753591,524605256,14599685580,55916632,87462932,16445647873,164.38,25.28,12.99,105.57,91.01,55.86168182,8.716818182
4/1/01,327463533,1992261225,345472037,11118108599,666379616,95909183,14545594193,158.61,25.91,12.99,106.15,87.55,54.77247619,8.052105263
5/1/01,712500524,2541335701,368353585,14317170779,659620409,90128845,18689109843,163.87,27.49,12.99,110.77,85.08,57.594,8.959545455
6/1/01,704379985,2652623567,747365430,11919311414,628561499,98447361,16750689256,170.23,27.11,12.99,109.43,83.16,53.43519048,8.742857143
7/1/01,480385574,1952556305,1099797108,15363976165,548503231,94476525,19539694908,186.65,24.94,12.99,108.34,90.75,49.51331818,8.536190476
8/1/01,340580043,2495838931,1379842722,13089065497,348680988,146629567,17800637748,182.75,25.92,12.99,104.22,92.88,49.31782609,7.904347826
9/1/01,685095442,1502652200,1449077554,11590742662,186168773,118518613,15532255244,172.35,25.43,12.99,103.18,89.74,48.1288,7.160666667
10/1/01,579761253,827863306,1499290863,14378905827,349867189,137382437,17773070875,160.63,21.06,12.99,104.83,86.27,46.42830435,6.596086957
11/1/01,713260249,193036187,1526110088,11774221862,249202969,141978991,14597810346,162.56,18.73,12.99,106.8,89.88,48.29631818,7.278
12/1/01,593779642,226552401,819560200,11010233944,941342943,97672930,13689142060,160.15,18.61,12.99,104.37,92.31,46.90366667,7.41
1/1/02,344577751,142134115,791714482,12401093962,491644270,95601384,14266765964,160.06,19.33,12.68,106.19,91.97,47.61665217,7.313809524
2/1/02,504035748,81840295,666108614,10774785141,487028311,96208546,12610006655,160.2,20.16,12.68,103.84,90.73,48.69115,5.683157895
3/1/02,340026283,651195810,334906795,12367971427,1070696482,94457189,14859253986,168.69,23.83,12.68,102.55,89.86,53.51919048,5.9245
4/1/02,145973593,1707065733,293037186,14417822884,902069183,114815019,17580783598,171.36,25.51,12.68,104.8,87.11,54.54309091,5.178181818
5/1/02,136879151,1263756279,566489270,10517929013,978445190,93627165,13557126068,176.64,25.72,12.68,104.1,90.33,51.5233913,5.611818182
6/1/02,46555092,1256748132,1234953175,3981355530,351824265,66550422,6937986616,185.37,24.57,12.68,115.41,93.17,49.51485,5.246
7/1/02,12949380,2594472791,1505056199,22754489478,2261704444,152698492,29281370784,209.09,25.76,12.68,132.64,99.7,48.11404348,5.794761905
8/1/02,44798500,1701208270,1489513460,20146610381,1134163388,170905980,24687199979,208.22,26.74,12.68,149.61,109.89,46.41845455,5.856818182
9/1/02,394399997,3848423352,2267278774,18190594054,1030198516,182113793,25913008486,208.22,28.32,12.68,173.34,113.94,52.06904762,6.4095
10/1/02,344995479,1684333491,1773296951,14511446132,1426974622,175622471,19916669146,200.09,27.45,12.68,180.04,109.65,55.99078261,7.02
11/1/02,346223264,470706661,1210993792,13714024277,733947371,171596111,16647491476,210.22,24.65,12.68,164.28,108.65,60.27952381,7.296842105
12/1/02,85576096,558117090,1219640778,12749376333,1266567521,141863373,16021141191,208.24,27.96,12.68,149.2,107.01,55.97031818,7.508
1/1/03,106579806,245773889,1133143268,16034142275,766406906,119171006,18405217150,208.67,30.53,13.82,140.48,105.84,58.0846087,7.89047619
2/1/03,49369130,189292987,598345023,14533708012,1564281395,142197109,17077193656,209.61,32.93,13.82,141.66,106.14,58.6859,8.348333333
3/1/03,218938804,1290963377,249870397,14713814993,1199853732,102590448,17776031751,210.22,30.3,13.82,129.25,105.13,54.37609524,7.843333333
4/1/03,180237983,2891576437,211010373,16030445694,642291471,107357046,20062919004,221.71,25.65,13.82,126.05,105.34,56.51290909,7.261904762
5/1/03,376001470,3278170259,733868695,15793777123,838738531,108077089,21128633167,232.41,26.09,13.82,131.05,107.91,57.59222727,7.013809524
6/1/03,258187318,2507261576,1171937135,12093966441,872643063,92513182,16996508715,229.77,27.99,13.82,118.16,107.03,52.94880952,6.404761905
7/1/03,249695864,1841400423,1051566631,12550164800,952367706,91410130,16736605554,214.03,28.66,13.82,115.78,97.67,54.67,6.732272727
8/1/03,337451710,2475310027,1958783773,11277423428,685865672,98831123,16833665733,208.22,29.73,13.82,133.48,100.35,55.601,6.709047619
9/1/03,627992128,2178802743,1489039595,18305870505,1242863809,139672172,23984240952,231.7,26.93,13.82,130.65,103.24,57.67990909,6.271428571
10/1/03,476030293,2115086914,1545039681,20798586244,1266586642,135613530,26336943304,268.99,29.02,13.82,130.06,104.21,55.76373913,6.09826087
