date,USDBRL_log,neer_log,reer_log,brazil_rate_log,us_rate_log,rate_diff_log,vix_log,current_account_log,aec_log,pae_log,fx_gap_log,total_commodity_exports_log,total_export_value_log,total_export_kg_log,post_2008,USDBRL,neer,reer,brazil_rate,us_rate,vix,current_account,aec,pae,fx_gap,total_commodity_exports,total_export_value,total_export_kg,cxpi_dynamic,cxpi_laspeyres,cxpi_dynamic_log,cxpi_laspeyres_log
2/1/00,-0.01589636,0.0205469,0.01762237,0,0.044451763,-0.018692133,0.017094433,-0.219744071,,,,0.108655684,0.178608588,-0.181745908,0,1.774490476,195.7,115.64,19,5.75,23.60,-1306800000,,,,4679559000,4120793391,16179667934,99.72766876,101.5047836,-0.002727027,0.014935741
3/1/00,-0.018919652,0.029950647,0.028809629,-0.026668247,0.042559614,-0.058268908,-0.038001118,-0.450063251,,,,-0.042336959,0.080771534,0.23868226,0,1.741233333,201.65,119.02,18.5,6,22.72,-2049600000,,,,4485576000,4467447649,20541303182,101.9304962,102.485405,0.021848013,0.009614471
4/1/00,0.014897998,-0.007366516,-0.004209824,0,0,0,0.178499709,-0.420925257,,,,-0.008887066,-0.068848314,-0.130189422,0,1.767368421,200.17,118.52,18.5,6,27.16,-3122300000,,,,4445889000,4170220598,18033808143,106.1119766,103.0780334,0.040203748,0.00576591
5/1/00,0.033255752,-0.015405057,-0.015989454,0,0.080042708,-0.040821995,-0.029518302,0.569173536,,,,0.044792527,0.193474474,0.280581415,0,1.827131818,197.11,116.64,18.5,6.5,26.37,-1767200000,,,,4649559000,5060389264,23874946411,107.0497284,104.6652908,0.008798558,0.015281245
6/1/00,-0.010786943,-0.004729343,-0.005502077,-0.055569851,0,-0.087011377,-0.202315329,-0.384575426,,,,-0.020628957,-0.042443642,-0.118943263,0,1.807528571,196.18,116,17.5,6.5,21.54,-2596000000,,,,4554626000,4850102157,21197566320,102.5146255,101.8003159,-0.043288001,-0.027754345
7/1/00,-0.005828625,0.009941246,0.024356139,-0.0588405,0,-0.09531018,-0.079694579,0.560039606,,,,0.030198344,0.030499633,0.066754336,0,1.79702381,198.14,118.86,16.5,6.5,19.89,-1482800000,,,,4694266000,5000307451,22660894162,97.36100769,97.63568878,-0.051579678,-0.041770117
8/1/00,0.006332257,0.006890509,0.019083117,0,0,0,-0.094857793,-0.105933591,,,,0.033069425,0.098227508,0.050488299,0,1.80843913,199.51,121.15,16.5,6.5,18.09,-1648500000,,,,4852098000,5516407914,23834378510,96.60108185,97.78255463,-0.007835858,0.001503093
9/1/00,0.016426074,-0.003967562,-0.006376041,0,0,0,0.084751593,-0.101933358,,,,-0.073456444,-0.158946075,-0.170604472,0,1.83839,198.72,120.38,16.5,6.5,19.69,-1825400000,,,,4508456000,4705729616,20096075378,100.6048813,100.9566422,0.040610838,0.031944956
10/1/00,0.021763363,-0.013323061,-0.013548756,0,0,0,0.246733102,-0.713911798,,,,-0.009097573,-0.01518327,0.085437722,0,1.878838095,196.09,118.76,16.5,6.5,"	25.20",-3727400000,,,,4467626000,4634820927,21888519226,100.6838379,99.90743256,0.000784511,-0.010447056
11/1/00,0.035744027,-0.033077147,-0.030955871,0,0,0,0.045762153,0.269480257,,,,0.012709576,-0.057879259,-0.151295699,0,1.94721,189.71,115.14,16.5,6.5,"	26.38",-2846900000,,,,4524770000,4374176633,18815228417,101.8361664,100.9289627,0.011380021,0.010172847
12/1/00,0.007821592,-0.020556694,-0.015844863,-0.046520016,0,-0.077961541,0.005670021,-0.088038283,,,,0.055849892,0.060287371,-0.0437069,0,1.9625,185.85,113.33,15.75,6.5,"	26.53",-3108900000,,,,4784668000,4645995542,18010585422,101.883812,101.723999,0.000467755,0.007846324
1/1/01,-0.004489507,-0.003935633,-0.000264749,-0.032260862,-0.167054085,0.052643733,-0.062605474,0.248066376,,,,0.08889081,-0.025576084,0.31583186,0,1.953709091,185.12,113.3,15.25,5.5,24.92,-2425900000,,,,5229457000,4528675856,24699710529,105.0363541,101.9170532,0.030473454,0.001896025
2/1/01,0.023945155,-0.019363009,-0.016732323,0,0,0,-0.062507412,0.230134417,,,,-0.04856074,-0.108535623,-0.356316046,0,2.001055556,181.57,111.42,15.25,5.5,23.41,-1927200000,,,,4981578000,4062887664,17296003758,103.36763,100.396965,-0.016014662,-0.015027301
3/1/01,0.042651576,-0.032123635,-0.031546056,0.032260862,-0.09531018,0.09763847,0.196740806,-0.360791614,,,,0.062631962,0.237834414,0.275966962,0,2.08825,175.83,107.96,15.75,5,28.50,-2764500000,,,,5303562000,5153769468,22792748570,98.67436218,99.14069366,-0.046466699,-0.012591989
4/1/01,0.048330572,-0.039441405,-0.038813238,0.031252544,-0.105360516,0.088947486,-0.013067465,0.099449682,,,,-0.078874318,-0.089254434,-0.112158968,0,2.191655,169.03,103.85,16.25,4.5,28.13,-2502800000,,,,4901319000,4713703708,20374486826,93.34926605,97.75274658,-0.05547715,-0.014098693
5/1/01,0.046699569,-0.038414081,-0.037977384,0.030305349,-0.117783036,0.081678031,-0.203954511,0.057308845,,,,0.008202418,0.128897357,0.242068659,0,2.296431818,162.66,99.98,16.75,4,22.94,-2363400000,,,,4941687000,5362183737,25954684967,95.10283661,99.09001923,0.018610789,0.013587426
6/1/01,0.033651429,-0.030650631,-0.025733362,0.085766822,-0.064538521,0.128617378,-0.091220906,0.049748989,,,,-0.015014968,-0.063273975,-0.149063871,0,2.375025,157.75,97.44,18.25,3.75,20.94,-2248700000,,,,4868042000,5033408207,22360326730,96.77199554,100.0366135,0.017398853,0.009507532
7/1/01,0.037274196,-0.0346341,-0.019063984,0.040273899,0,0.050430854,0.063821932,0.040660803,,,,-0.072803323,-0.015182674,0.153231044,0,2.465222727,152.38,95.6,19,3.75,22.32,-2159100000,,,,4526226000,4957564819,26063068293,103.5664139,103.3157883,0.067855437,0.03225395
8/1/01,0.017933036,-0.032956088,-0.026176454,0,-0.068992871,0.016260521,-0.020824655,0.535489289,,,,0.104445826,0.143043303,-0.039686235,0,2.509830435,147.44,93.13,19,3.5,21.86,-1263900000,,,,5024542000,5719937959,25048979031,102.1131897,102.8039398,-0.014131186,-0.004966526
9/1/01,0.062186505,-0.063201018,-0.063615507,0,-0.15415068,0.031748698,0.472687581,0.202509732,,,,-0.078551545,-0.188294221,-0.14324326,0,2.670863158,138.41,87.39,19,3,35.07,-1032200000,,,,4644960000,4738230423,21706023641,98.55737305,100.2962036,-0.035443055,-0.024695833
10/1/01,0.025327262,-0.02287359,-0.013710682,0,-0.182321557,0.030771659,-0.069359552,-0.926814507,,,,-0.004577129,0.042497256,0.139885707,0,2.739372727,135.28,86.2,19,2.5,"	32.72",-2607800000,,,,4623748000,4943932135,24965016779,96.73072815,96.74897766,-0.018707726,-0.036008079
11/1/01,-0.074673547,0.076054417,0.084601282,0,-0.223143551,0.029852963,-0.205948112,0.445563574,,,,0.004250916,-0.096891694,-0.160826121,0,2.542265,145.97,93.81,19,2,"	26.63",-1670200000,,,,4643445000,4487381285,21256216522,100.032692,97.06483459,0.033565932,0.003259388
12/1/01,-0.073589036,0.075452745,0.082229683,0,-0.133531393,0.014598799,-0.115719826,-0.141670851,,,,-0.039406394,-0.035558815,-0.059493873,0,2.3619,157.41,101.85,19,1.75,"	23.72",-1924400000,,,,4464022000,4330618982,20028485239,98.73487091,96.76828003,-0.013058866,-0.003059898
1/1/02,0.006414877,0.00228441,0.003332683,0,0,0,-0.063976566,0.38841119,,,,0.02380785,-0.091479051,0.004412584,0,2.3771,157.77,102.19,19,1.75,22.25,-1305000000,,,,4571576000,3952038148,20117057888,98.79398346,95.59343719,0.000598521,-0.012215086
