date,corn,soybeans,sugar,iron,copper,oil,coffee,soybean_price,oil_price,iron_price,wheat_price,corn_price,copper_price,coffee_price,USDBRL,brazil_rate,us_rate,vix
1/1/00,579149,5507660,81475121,256910176,,,141109073,180.38,25.41,12.45,93.62,92.95,1843.85,94.51657143,1.80292381,19,5.5,23.20
2/1/00,886860,11255384,115509089,188297971,,51,155685300,185.76,27.37,12.45,98.17,95.08,1807.025,87.52514286,1.774490476,19,5.75,23.60
3/1/00,949107,104267700,32547599,269374011,,,127370617,190.97,27.49,12.45,96.40,95.17,1739.8,84.3333913,1.741233333,18.5,6,22.72
4/1/00,671498,304337612,12733928,227359555,,,118263733,197.10,23.77,12.45,94.43,95.54,1681.9075,79.6233,1.767368421,18.5,6,27.16
5/1/00,14612,337395241,11645550,306778408,,,146694623,200.87,27.42,12.45,99.11,95.53,1785.097826,77.17691304,1.827131818,18.5,6.5,26.37
6/1/00,235371,345376332,65750387,256030011,,8830391,117014219,186.95,29.83,12.45,103.37,84.04,1752.072727,73.67172727,1.807528571,17.5,6.5,21.54
7/1/00,1620096,353263286,153625221,252661162,,50862353,91382131,169.50,28.34,12.45,97.13,75.06,1803.142857,73.73561905,1.79702381,16.5,6.5,19.89
8/1/00,1908996,380247150,143489488,286715876,,,148655773,167.87,30.01,12.45,96.65,75.24,1857.123913,67.00013043,1.80843913,16.5,6.5,18.09
9/1/00,552463,149138414,92535733,249105401,,27486,128741572,180.45,32.44,12.45,103.44,80.15,1961.892857,64.72580952,1.83839,16.5,6.5,19.69
10/1/00,524670,113417053,173247992,291083379,,,148887098,173.61,31.65,12.45,107.78,84.71,1894.372727,64.623,1.878838095,16.5,6.5,"	25.20"
11/1/00,27751,62305085,166778989,232935017,,38934539,137490842,177.19,32.61,12.45,105.04,88.94,1795.602273,59.87154545,1.94721,16.5,6.5,"	26.38"
12/1/00,1393958,21316319,148492630,230989129,,59930153,100336119,185.96,25.32,12.45,113.74,96.22,1852.4,55.3207619,1.9625,15.75,6.5,"	26.53"
1/1/01,5985099,58188005,229618827,320824466,,66156287,83746369,175.42,25.96,12.99,109.48,94.30,1787.056818,55.70304348,1.953709091,15.25,5.5,24.92
2/1/01,15656313,19676199,74282170,184787812,,85843872,90751795,167.45,27.43,12.99,103.32,92.38,1766.125,56.5403,2.001055556,15.25,5.5,23.41
3/1/01,25036056,161880205,116041631,284171828,,8562194,103247297,164.38,25.28,12.99,105.57,91.01,1742.159091,55.86168182,2.08825,15.75,5,28.50
4/1/01,29524758,336058402,71822001,208956350,,79974562,108874074,158.61,25.91,12.99,106.15,87.55,1665.972222,54.77247619,2.191655,16.25,4.5,28.13
5/1/01,63365518,416279892,78503793,270425701,,75495977,100219590,163.87,27.49,12.99,110.77,85.08,1684.85,57.594,2.296431818,16.75,4,22.94
6/1/01,60434341,435667608,163264621,232410641,,87475491,102938576,170.23,27.11,12.99,109.43,83.16,1610.469048,53.43519048,2.375025,18.25,3.75,20.94
7/1/01,41310925,337766313,239760520,280662389,,74907022,90955629,186.65,24.94,12.99,108.34,90.75,1526.770455,49.51331818,2.465222727,19,3.75,22.32
8/1/01,29199678,445356745,288672366,253708277,,47229478,128580044,182.75,25.92,12.99,104.22,92.88,1466.411364,49.31782609,2.509830435,19,3.5,21.86
9/1/01,59289669,280168399,292192876,209206237,,24735018,100035850,172.35,25.43,12.99,103.18,89.74,1427.697368,48.1288,2.670863158,19,3,35.07
10/1/01,51013018,156751356,289734147,277010339,,45721755,111578178,160.63,21.06,12.99,104.83,86.27,1377.376087,46.42830435,2.739372727,19,2.5,"	32.72"
11/1/01,62521935,36063289,280722955,210112839,,35941686,111485062,162.56,18.73,12.99,106.80,89.88,1434.293182,48.29631818,2.542265,19,2,"	26.63"
12/1/01,53990753,41651477,151556334,199138802,,88828204,79907503,160.15,18.61,12.99,104.37,92.31,1472.847059,46.90366667,2.3619,19,1.75,"	23.72"
1/1/02,32453524,26164097,148309753,218123301,,43039514,73313686,160.06,19.33,12.68,106.19,91.97,1508.227273,47.61665217,2.3771,19,1.75,22.25
2/1/02,46721168,14276816,127931406,199964262,,45354146,71296639,160.20,20.16,12.68,103.84,90.73,1561.3675,48.69115,2.4188,18.75,1.75,22.88
3/1/02,32616563,111716438,63761274,238544172,,110677852,72208962,168.69,23.83,12.68,102.55,89.86,1607.3925,53.51919048,2.345845,18.5,1.75,18.98
4/1/02,13481637,288120366,52996253,267043902,,116807723,91043552,171.36,25.51,12.68,104.80,87.11,1588.571429,54.54309091,2.3196,18.5,1.75,19.90
5/1/02,12851921,217093531,90121572,188515319,,141431989,72332638,176.64,25.72,12.68,104.10,90.33,1597.022727,51.5233913,2.4796,18.5,1.75,20.09
6/1/02,4624694,217588612,186919262,60821793,,53591019,55501770,185.37,24.57,12.68,115.41,93.17,1650.594444,49.51485,2.713175,18.5,1.75,25.27
7/1/02,2241128,475948036,229823044,412530000,,318457629,113068574,209.09,25.76,12.68,132.64,99.70,1588.284783,48.11404348,2.933834783,18,1.75,34.05
8/1/02,5020977,336591884,219061294,390037926,,166749234,119413246,208.22,26.74,12.68,149.61,109.89,1482.916667,46.41845455,3.109309091,18,1.75,33.74
9/1/02,38041391,768879297,329862040,315501711,,165038539,132204019,208.22,28.32,12.68,173.34,113.94,1478.933333,52.06904762,3.341242857,18,1.75,37.65
10/1/02,34689611,353345438,268944873,262317965,,238460322,135469437,200.09,27.45,12.68,180.04,109.65,1486.171739,55.99078261,3.805130435,21,1.75,"	35.24"
11/1/02,35258665,99035723,183597483,261065421,,116558859,140465321,210.22,24.65,12.68,164.28,108.65,1581.035714,60.27952381,3.5756,22,1.25,"	28.18"
12/1/02,9595517,121195326,192100759,234384653,,175204057,124724369,208.24,27.96,12.68,149.20,107.01,1592.964286,55.97031818,3.625119048,25,1.25,"	28.21"
1/1/03,12028586,50676231,191222094,297849762,,122667503,106362688,208.67,30.53,13.82,140.48,105.84,1650.311364,58.0846087,3.437554545,25.5,1.25,27.42
2/1/03,5729793,40658869,114036377,263117374,,273683107,129979182,209.61,32.93,13.82,141.66,106.14,1682.145,58.6859,3.589955,26.5,1.25,32.22
3/1/03,23132569,267833468,51681510,271919657,,252928793,92020265,210.22,30.30,13.82,129.25,105.13,1655.692857,54.37609524,3.446089474,26.5,1.25,30.63
4/1/03,18525242,589979729,38841745,287113939,,104745062,94549996,221.71,25.65,13.82,126.05,105.34,1587.8675,56.51290909,3.1179,26.5,1.25,23.99
5/1/03,39824695,689872764,125548161,290711429,,112243387,99745271,232.41,26.09,13.82,131.05,107.91,1651.1,57.59222727,2.954942857,26.5,1.25,20.24
6/1/03,26964937,528488368,200808207,217323150,,122827118,84196728,229.77,27.99,13.82,118.16,107.03,1685.107143,52.94880952,2.882405,26,1,20.36
7/1/03,26830200,407959512,187749596,242610788,,153018416,82708838,214.03,28.66,13.82,115.78,97.67,1712.826087,54.67,2.879,24.5,1,19.16
8/1/03,34828670,539944618,321212145,220566460,,113010236,95305699,208.22,29.73,13.82,133.48,100.35,1756.725,55.601,3.0017,22,1,19.27
9/1/03,64414232,469804539,242232631,393245738,,216359514,139228429,231.70,26.93,13.82,130.65,103.24,1789.670455,57.67990909,2.922,20,1,19.53
10/1/03,49479441,485045099,240238977,491411363,,205555700,140963756,268.99,29.02,13.82,130.06,104.21,1925.582609,55.76373913,2.8607,19,1,"	18.02"
11/1/03,26041209,130503767,167601338,282498244,,175959390,127644594,279.72,29.11,13.82,141.35,108.10,2053.275,53.8268,2.913,17.5,1,"	17.40"
12/1/03,47336415,86033383,255313514,197552394,,268933282,122088210,283.19,29.97,13.82,145.07,111.99,2202.035714,56.20847826,2.924454545,16.5,1,"	16.83"
1/1/04,71560517,99169681,139354926,439895296,,229702831,102248345,300.90,31.40,16.39,147.29,116.25,2421.47619,62.27318182,2.851033333,16.5,1,16.10
2/1/04,72104487,127324531,154802641,282396584,,200683452,122181071,316.55,31.45,16.39,141.73,122.93,2751.7175,64.48095,2.929511111,16.5,1,16.00
3/1/04,108076181,453433518,188841820,450429411,,256672821,142163725,360.68,33.58,16.39,142.55,128.46,3000.282609,65.65008696,2.904656522,16.25,1,17.69
4/1/04,47702830,568559445,113086155,211224560,,76173983,116715328,363.50,33.90,16.39,146.06,133.44,2926.975,63.80009091,2.905185,16,1,15.70
5/1/04,32082415,738761974,130603466,301658855,,231603147,129892820,347.87,37.54,16.39,143.18,129.29,2728.460526,65.21585714,3.099619048,16,1,17.70
