date,corn,soybeans,sugar,iron,oil,coffee,soybean_price,oil_price,iron_price,wheat_price,corn_price,coffee_index,sugar_price,corn_share_primary,soybeans_share_primary,sugar_share_primary,iron_share_primary,oil_share_primary,coffee_share_primary,total_exports,primary_product_exports,USDBRL,BRLUSD,neer,reer,brazil_rate,us_rate,rate_diff,vix,aec,pae
1/1/00,579149,5507660,81475121,256910176,1.00E-16,141109073,180.38,25.41,12.45,93.62,92.95,94.51657143,5.6295,0.001192692,0.011342408,0.167788878,0.529077705,2.06E-25,0.290598316,3446768506,485581179,1.80292381,0.554654609,191.72,113.62,19,5.5,13.5,23.2,,
2/1/00,886860,11255384,115509089,188297971,51,155685300,185.76,27.37,12.45,98.17,95.08,87.52514286,5.351,0.001880396,0.023864625,0.244912217,0.39924541,1.08E-07,0.330097244,4120793391,471634655,1.774490476,0.56354205,195.7,115.64,19,5.75,13.25,23.6,,
3/1/00,949107,104267700,32547599,269374011,1.00E-16,127370617,190.97,27.49,12.45,96.4,95.17,84.3333913,5.1112,0.001775661,0.195071913,0.060892514,0.50396531,1.87E-25,0.238294601,4467447649,534509034,1.741233333,0.574305569,201.65,119.02,18.5,6,12.5,22.72,,
4/1/00,671498,304337612,12733928,227359555,1.00E-16,118263733,197.1,23.77,12.45,94.43,95.54,79.6233,6.011,0.001012258,0.458777602,0.019195922,0.342736051,1.51E-25,0.178278168,4170220598,663366326,1.767368421,0.565812984,200.17,118.52,18.5,6,12.5,27.16,,
5/1/00,14612,337395241,11645550,306778408,1.00E-16,146694623,200.87,27.42,12.45,99.11,95.53,77.17691304,6.780869565,1.82E-05,0.420415311,0.014511075,0.382264846,1.25E-25,0.182790561,5060389264,802528434,1.827131818,0.547305887,197.11,116.64,18.5,6.5,12,26.37,,
6/1/00,235371,345376332,65750387,256030011,8830391,117014219,186.95,29.83,12.45,103.37,84.04,73.67172727,8.334545455,0.000296722,0.435401346,0.082888734,0.322766215,0.011132101,0.147514881,4850102157,793236711,1.807528571,0.553241601,196.18,116,17.5,6.5,11,21.54,,
7/1/00,1620096,353263286,153625221,252661162,50862353,91382131,169.5,28.34,12.45,97.13,75.06,73.73561905,9.64047619,0.001793304,0.391031342,0.170049588,0.279673652,0.056300145,0.10115197,5000307451,903414249,1.79702381,0.556475654,198.14,118.86,16.5,6.5,10,19.89,,
8/1/00,1908996,380247150,143489488,286715876,1.00E-16,148655773,167.87,30.01,12.45,96.65,75.24,67.00013043,10.59782609,0.001986433,0.3956715,0.149309997,0.298346222,1.04E-25,0.154685848,5516407914,961017283,1.80843913,0.55296304,199.51,121.15,16.5,6.5,10,18.09,,
9/1/00,552463,149138414,92535733,249105401,27486,128741572,180.45,32.44,12.45,103.44,80.15,64.72580952,9.8575,0.000890924,0.240506623,0.149226856,0.401717419,4.43E-05,0.207613853,4705729616,620101069,1.83839,0.543954221,198.72,120.38,16.5,6.5,10,19.69,,
10/1/00,524670,113417053,173247992,291083379,1.00E-16,148887098,173.61,31.65,12.45,107.78,84.71,64.623,10.41318182,0.000721533,0.155972582,0.238252855,0.400301587,1.38E-25,0.204751442,4634820927,727160192,1.878838095,0.532243839,196.09,118.76,16.5,6.5,10,"	25.20",,
