date,corn_kg,soybeans_kg,sugar_kg,iron_kg,oil_kg,coffee_kg,total_primary_exports,soybean_price,oil_price,iron_price,wheat_price,corn_price,coffee_price,sugar_price
9/1/08,274319385,1862074413,1871201453,29232786719,1607475788,159548250,35007406008,433.38,99.83,60.8,263.05,233.95,131.9016818,14.02047619
10/1/08,398863117,1061519150,2205107535,26737568449,2131229315,178451198,32712738764,338.78,71.93,60.8,202.77,183.02,113.1413478,11.70217391
11/1/08,774984188,723592745,1954458440,17914269559,2568323259,171472166,24107100357,329.14,53.19,60.8,194.11,164.3,112.5494,11.82842105
12/1/08,1366455947,750385331,1944093339,13750599700,3643867407,163901054,21619302778,318.81,40.19,69.9826087,188.84,158.91,107.7238696,11.32
1/1/09,1328223668,614533775,1925573273,17514932668,1767122764,125426873,23275813021,364.72,42.85,72.50909091,211.28,173.3,114.2146818,12.244
2/1/09,750814401,689462091,1430970651,17479044439,2333315657,137428497,22821035736,341.27,41.37,75.59,195.22,163.4,114.7029,13.31210526
3/1/09,451930223,2642917362,1297536606,22145797118,1594389881,138937959,28271509149,333.66,46.43,64.07272727,199.1,164.58,112.8563182,12.92818182
4/1/09,404360678,4493192256,1300033053,23474179460,2160932829,139335836,31972034112,374.47,49.76,59.78181818,200.89,168.8,117.2659545,13.46952381
5/1/09,299977476,4679252417,2149905356,15332000414,2342110106,122358744,24925604513,422.36,58.03,62.69047619,227.19,180.07,128.0159524,15.466
6/1/09,159972938,6174379469,2236702194,21381658161,1827848355,141130153,31921691270,445.11,68.7,71.65909091,227.31,179.39,126.98,16.57590909
7/1/09,154273143,3347247694,2323060187,25439411944,3397860060,116852365,34778705393,398.09,64.88,83.95217391,195.33,151.8,120.1316957,17.80454545
8/1/09,372224514,2979620776,2101883227,23297776406,3431944207,143946665,32327395795,408.96,71.8,97.66666667,179.55,152.04,126.5387619,21.72
9/1/09,716327295,1830429968,2554846726,28244132638,1601054750,146707010,35093498387,349.05,68.15,80.71363636,156.93,150.59,126.1036818,23.45142857
10/1/09,817933732,722695249,2251780979,25624799801,2698626655,144162084,32259998500,354.86,74.01,86.78636364,163.73,167.28,130.2526364,23.16090909
11/1/09,1087834675,185808402,2477934380,21831171984,2338651152,146486907,28067887500,370.71,77.34,99.25714286,177.61,171.69,127.3920476,22.769
12/1/09,1238026742,203144890,2227241119,24188583433,1873562540,141688205,29872246929,379.3,74.69,105.2478261,171.16,164.61,131.4438696,24.90272727
1/1/10,880249263,93039825,1779101167,21081548368,2128814445,124980124,26087733192,358.97,77.1,125.9142857,167.82,167.34,132.0408571,21.90526316
2/1/10,553306909,663770956,1396846143,23422343523,2531865318,125214069,28693346918,344.66,74.65,127.615,160.16,161.91,130.8649,21.97894737
3/1/10,338735477,3086118917,1286392479,27350943882,3158256144,149718999,35370165898,348.95,79.64,139.7695652,156.46,158.93,135.3260435,18.14782609
4/1/10,204521162,4913089458,1356148312,21363232507,2575061336,132220558,30544273333,357.64,84.31,172.4681818,156.83,157.27,140.0635909,16.88571429
5/1/10,93496219,5696187620,2126362820,23436747168,3314541460,125139395,34792474682,349.05,75.37,161.347619,158.33,163.24,142.5754762,15.105
6/1/10,1190337,4039679961,2502915037,24450448848,2505039487,115623436,33614897106,348.51,74.95,143.6318182,149.21,152.87,156.7087727,16.3
7/1/10,286009325,3999165158,2900005528,25577795131,1503656668,132722133,34399353943,370.98,74.82,126.3636364,182.74,163.92,167.8315,17.69
8/1/10,1191104201,2966414860,3225726974,29786680568,3006660855,168792449,40345379907,379.46,76.02,145.3409091,219.88,175.6,172.9219091,18.60363636
9/1/10,1930444024,2008563077,3349436054,27334052404,2640261542,177264941,37440022042,390.23,76.34,140.6272727,240.43,205.84,180.2826818,22.66952381
10/1/10,1589101727,1013266827,3003309567,30184836236,1457495541,185038207,37433048105,427.18,81.89,148.4809524,234.6,235.7,177.7431905,26.94380952
11/1/10,1825228183,301253588,3108681808,24719201999,2631703666,177194692,32763263936,459.96,84.47,160.55,241.84,238.24,191.0556364,26.42047619
12/1/10,1925346114,292605816,1964237561,31980027915,5475004541,180400324,41817622271,483.76,90.19,168.526087,274.46,250.63,202.8295217,28.04090909
1/1/11,1027466018,208095949,1295902662,22736266693,2060821064,155535361,27484087747,511.1,93.06,179.63,295.99,265.29,214.963,29.73684211
2/1/11,1186638737,224881082,1270823800,23278353768,2827366718,149109337,28937173442,512.05,97.77,187.18,317.6,293.4,234.67695,29.30631579
3/1/11,387753663,2733616485,1410355060,24782476720,1881832386,151866082,31347900396,498.74,108.63,169.3565217,285.38,290.43,239.885913,25.9
4/1/11,119069628,5089786243,1302732466,24665073792,2218644584,138596395,33533903108,501.47,116.43,179.2611111,307.25,318.94,245.554,23.903
5/1/11,60624564,5305717232,1599561973,26430413803,3536312189,144242876,37076872637,498.77,108.15,177.095,307.19,308.58,240.3410909,21.84095238
6/1/11,11815661,4553505146,2487058744,25507864622,2372923491,132429185,35065596849,499.77,106.03,170.8772727,285.3,310.54,227.8728636,24.92454545
7/1/11,271573995,3738040524,3060805078,27322038074,2836618692,109023792,37338100155,501.83,108.5,172.9761905,271.46,300.83,221.4341429,29.471
8/1/11,1523618916,3681758781,3302703616,32478734577,3315113857,155792092,44457721839,501.42,100.53,177.45,288.69,310.31,222.9282609,28.87434783
9/1/11,1649216776,2798346145,2798018132,30053896527,2031535601,160212796,39491225977,490.91,100.77,177.2272727,272.34,296.3,224.2335,26.63857143
10/1/11,1521231261,1413186058,2513338955,27805487475,2471180546,172347168,35896771463,446.02,100.15,150.4333333,251.59,274.85,202.9078095,26.29857143
11/1/11,908764669,1758847238,2483086704,31759549801,2157147928,167177261,39234573601,428.83,105.02,135.5409091,244.54,274.28,200.7333636,24.51761905
12/1/11,814285944,1469779422,1833208758,34009420303,3548147637,158137166,41832979230,420.05,103.77,136.455,236.06,258.52,195.0349091,23.4152381
1/1/12,852478402,1011707981,1231077980,18181040246,2190859079,117247640,23584411328,441.73,106.71,140.347619,243.7,272.92,195.0600909,24.0205
2/1/12,279156363,1568331088,1340445828,22650481330,2341881830,119461451,28299757890,461.56,112.71,140.3952381,245.98,279.51,187.504619,23.416
3/1/12,280188861,4236918758,994265985,27536297631,2880461782,120052832,36048185849,496.29,117.83,144.6636364,243.49,280.72,171.9504091,23.78818182
4/1/12,103640067,4430830149,548600912,25546141025,2836495014,105526914,33571234081,529.42,113.76,147.6473684,228.09,274.22,164.5531429,22.477
5/1/12,165732119,7275064364,1729670859,26802382322,2308957392,108998729,38390805785,520.93,104.34,136.2727273,228.88,268.88,161.1819565,20.26545455
6/1/12,134903497,4841213912,1659228658,25885968132,1498182145,101242772,34120739116,522.33,90.91,134.6210526,241.97,267.33,149.7895238,20.09809524
7/1/12,1704885921,4129619684,2489986752,27250841015,2098104192,109566414,37783003978,609.45,96.95,127.9363636,310.75,333,165.4308182,22.75714286
8/1/12,2760703415,2430615779,2456358838,27532467314,3595967601,137075958,38913188905,622.91,105.62,107.7954545,315.55,332.23,154.3333043,20.56130435
9/1/12,3147006634,1681215994,2641147404,27670185608,2210901397,118300652,37468757689,615.18,106.4,99.47,316.65,320.71,156.7689,20.20631579
10/1/12,3662501695,906884061,3933333965,32646692868,1153659967,160312561,42463385117,565.53,103.27,113.9478261,318.41,321.38,152.6622609,20.38869565
11/1/12,3915677497,258967125,2863672814,32569613125,2207135190,150340440,41965406191,533.03,101.25,120.3454545,319.46,321.6,141.236,19.31333333
12/1/12,2794453314,135027957,2453961242,32256695311,3301446671,157466650,41099051145,534.79,101.41,128.8736842,303.04,308.75,135.8749048,19.202
1/1/13,3372046028,284016,2296759375,24656284205,735648043,141137187,31202158854,526.05,105.15,150.4909091,288.21,303.36,139.7948261,18.84571429
2/1/13,2294784202,959633412,1778025725,20673204541,1543508083,113948427,27363104390,536.38,107.64,154.6388889,271.68,302.61,135.83105,18.20789474
3/1/13,1609449582,3536307549,1940407080,22574530677,1836545989,137938194,31635179071,536.08,102.83,139.87,263.34,309.58,136.6869524,18.339
4/1/13,608751184,7154619294,1684813710,23346973743,1018569293,147667746,33961394970,517.79,98.84,137.3909091,264.17,279.76,135.3523182,17.66227273
5/1/13,275865079,7951538971,1896621159,27174647684,1746772193,137992262,39183437348,542.2,99.42,124.0095238,276.05,295.37,132.7828261,17.42636364
6/1/13,276675842,6497603130,2204803121,26106699871,1161944765,125212120,36372938849,560.16,99.84,114.815,266.85,297.11,124.0173,16.956
7/1/13,733398106,5658283460,2297324173,29694849186,1161765391,115487378,39661107694,548.35,105.34,127.1913043,257.47,279.01,125.4332609,17.09636364
8/1/13,3050474219,5375800184,3297855419,31162649801,1688605633,144013316,44719398572,498.05,108.19,137.055,258.93,234.94,122.8111364,17.24409091
9/1/13,3450099591,3469039242,2524660422,29016246022,2310076682,147713149,40917835108,503.24,108.81,134.1857143,257.5,207.49,118.93,17.619
10/1/13,3953620096,1503687439,2623981457,32515221808,1480579012,174865520,42251955332,472.83,105.68,132.5727273,278.15,201.78,115.197913,18.8126087
11/1/13,3913142362,647862778,2265098364,30909383794,2411899160,162594327,40309980785,476.66,102.69,136.3238095,259.78,199.18,109.3245238,17.7485
12/1/13,3085744804,41444366,2343412614,31808014566,2758575973,151604449,40188796772,488.67,105.63,135.7904762,246.11,197.55,114.3302727,16.5447619
1/1/14,2926795071,30606315,2137793664,24704675653,1704627988,152790655,31657289346,476.1,102.22,128.1190476,229.98,198.77,119.0693913,15.70761905
2/1/14,1063516916,2789649517,1800582607,22628901361,1318576747,156289072,29757516220,496.8,104.93,121.37,242.8,209.36,150.3203,16.88526316
3/1/14,579105681,6229304627,1553013086,24467526775,1516779187,153479140,34499208496,522,104.26,111.8333333,275.61,222.39,181.471381,17.88809524
4/1/14,566381036,8250900628,1291901168,24702320349,1627635903,171843532,36610982616,547.19,105,114.5809524,276.38,222.43,188.1174091,18.2147619
5/1/14,127569257,7609782500,1465474455,30685560299,2247841968,161645176,42297873655,546.03,105.79,100.56,287.91,216.98,180.8374091,18.24047619
6/1/14,88117195,6893161834,1855424080,29551460953,2178902238,157527013,40724593313,528,108.55,92.85238095,261.65,202.63,168.1970952,18.24190476
7/1/14,592152803,6043522618,2488097012,31184621051,3914433420,166300406,44389127310,463.23,105.46,96.26086957,238.55,182.29,168.3626087,18.73045455
8/1/14,2458034024,4119263327,2306172275,28261079808,2319987531,161522444,39626059409,432.99,100.11,94.14285714,229.16,176.48,179.1519524,17.7247619
9/1/14,2685562370,2669832551,2209433635,33076568610,2156141792,165961995,42963500953,368.85,95.83,84.52272727,211.17,163.13,177.5252727,16.54428571
